video_id,title,channel,published,views,likes,comments
ukzFI9rgwfU,Machine Learning | What Is Machine Learning? | Introduction To Machine Learning | 2026 | Simplilearn,Simplilearn,2018-09-19T14:57:02Z,5379680,67618,2208
9gGnTQTYNaE,What is Machine Learning?,IBM Technology,2021-07-14T14:07:15Z,357867,6229,137
qYNweeDHiyU,"AI, Machine Learning, Deep Learning and Generative AI Explained",IBM Technology,2024-08-05T11:00:52Z,2937175,67943,1960
PeMlggyqz0Y,Machine Learning Explained in 100 Seconds,Fireship,2021-09-09T17:31:56Z,1025659,38075,655
PcbuKRNtCUc,Essential Machine Learning and AI Concepts Animated,freeCodeCamp.org,2025-04-22T15:40:29Z,266383,9624,142
i_LwzRVP7bg,Machine Learning for Everybody – Full Course,freeCodeCamp.org,2022-09-26T16:00:28Z,9746208,104294,2239
4RixMPF4xis,AI vs Machine Learning,IBM Technology,2023-04-10T11:00:03Z,1505746,43364,1012
HN2vSUgzPyE,Deep Learning Vs Machine Learning #shorts #ai #ml #machinelearning #deeplearning #computerscience,WebKnower,2025-06-04T14:16:45Z,791872,32486,42
h0e2HAPTGF4,11. Introduction to Machine Learning,MIT OpenCourseWare,2017-05-19T14:22:40Z,1797521,25817,509
7IgVGSaQPaw,The Complete Machine Learning Roadmap,Programming with Mosh,2024-07-18T13:00:06Z,952614,26482,846
E0Hmnixke2g,All Machine Learning algorithms explained in 17 min,Infinite Codes,2024-09-17T08:57:32Z,1885505,69370,699
lsf060bLH_Y,What is Machine Learning?,CodeWithHarry,2021-06-06T15:34:38Z,787942,34881,1472
9vM4p9NN0Ts,Stanford CS229 I Machine Learning I Building Large Language Models (LLMs),Stanford Online,2024-08-27T22:02:57Z,1833288,46720,415
JxgmHe2NyeY,Complete Machine Learning In 6 Hours| Krish Naik,Krish Naik,2022-05-28T04:37:31Z,1844448,29632,753
Gv9_4yMHFhI,A Gentle Introduction to Machine Learning,StatQuest with Josh Starmer,2018-11-26T17:00:01Z,1500793,24413,1109
Pj0neYUp9Tc,What is Machine Learning? | Machine Learning Basics | Machine Learning Tutorial | Edureka,edureka!,2018-03-16T14:31:00Z,367347,4822,109
Fa_V9fP2tpU,All Machine Learning Concepts Explained in 22 Minutes,Infinite Codes,2024-11-27T21:26:58Z,433197,16757,177
BRq4N8VQ_Lo,how to bring up the bobbin thread on sewing machine #learning #diy #sewing #creative #garimanuj,Garima's stitiching ,2025-04-12T09:30:00Z,150432,523,0
J7poIiJ2OZE,Complete Machine Learning Course in Malayalam | Learn ML Step-by-Step,Entri Coding മലയാളം ,2025-11-13T11:35:00Z,16538,413,23
Iuz_jc96bQk,O que é Machine Learning? #HipstersPontoTube,Alura,2019-04-22T14:00:03Z,244911,15955,200
gmvvaobm7eQ,Machine Learning Tutorial Python -1: What is Machine Learning?,codebasics,2018-06-30T21:31:22Z,1680251,17493,277
jGwO_UgTS7I,"Stanford CS229: Machine Learning Course, Lecture 1 - Andrew Ng (Autumn 2018)",Stanford Online,2020-04-17T20:07:45Z,4312218,56909,1102
EuBBz3bI-aA,Machine Learning Fundamentals: Bias and Variance,StatQuest with Josh Starmer,2018-09-17T16:00:42Z,1665743,45128,1595
MYWpaNYAo0o,How AI works: Machine learning,Museum of Science,2023-03-24T23:21:17Z,78690,1922,10
JkZAQaUFNfU,Machine Learning,ADP,2024-11-08T20:28:50Z,180720023,0,0
